
2024/06/20 (12:37:43) | ===> btop++ v.1.3.2
2024/06/20 (12:37:43) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/06/20 (12:37:43) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/06/20 (20:14:02) | ===> btop++ v.1.3.2
2024/06/20 (20:14:02) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/06/20 (20:14:02) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/06/20 (20:14:29) | ===> btop++ v.1.3.2
2024/06/20 (20:14:29) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/06/20 (20:14:29) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/06/20 (20:14:32) | ===> btop++ v.1.3.2
2024/06/20 (20:14:32) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/06/20 (20:14:32) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/06/20 (20:14:48) | ===> btop++ v.1.3.2
2024/06/20 (20:14:48) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/06/20 (20:14:48) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/06/20 (20:14:54) | ===> btop++ v.1.3.2
2024/06/20 (20:14:54) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/06/20 (20:14:54) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
